,Nama,Harga Diskon,Harga Awal,Diskon,Terjual,Kota/Kab,Toko,Rating,Kategori
109,Lighting Stand GS-200 - Light Stand 200CM,55000,55000,0.0,0,Jakarta Utara,Toko B,,Lighting
110,NICEFOTO Lighting Stand LS-260AT - Light Stand 260CM,389000,389000,0.0,0,Jakarta Utara,Toko B,,Lighting
111,CORDE Converter Type C to Apple Lightning 2.0 Support Audio Voice Data,55000,109000,49.5,0,Jakarta Utara,Toko S,,Lighting
112,GROSIR Portable Light Stand Tripod 1 Section 160cm for Studio Lighting,39800,39800,0.0,0,Jakarta Pusat,Toko T,,Lighting
113,Portable Light Stand Tripod 180cm for Studio Lighting,58100,58100,0.0,0,Jakarta Barat,Toko M,,Lighting
114,Light Stand Tripod 2 meter Kaki lampu studio - Lighting Flash speed lite stand,45000,45000,0.0,55,Jakarta Barat,Toko D,4.8,Lighting
115,Portrait Foto Studio Lighting Kit Youtube Vlog - VL-9004,236900,1265400,81.3,0,Jakarta Barat,Toko O,,Lighting
116,Softbox Reflektor Photography Studio Lighting Kit,855700,3634000,76.5,0,Jakarta Barat,Toko D,,Lighting
117,Portable Light Stand Tripod 180cm for Studio Lightning - W803,114000,114000,0.0,0,Cilegon,Toko U,,Lighting
118,CHARGER ORIGINAL IPHONE 11 13 PRO MAX XS XR 20W USB-C TO LIGHTNING,28000,65000,56.9,5,Jakarta Barat,Toko M,5.0,Lighting
119,iMac Lighting Lampu Meja Led Putih Terang ASC 2930S,35000,35000,0.0,0,Jakarta Pusat,Toko V,,Lighting
120,CORDE Kabel Data Transparan PD Type C to Lightning Fast Charging 20W,59000,149000,60.4,0,Jakarta Utara,Toko S,,Lighting
121,Kabel Data Cas Casan 3 in 1 Kabel USB Fast Charging Kabel Micro USB Lightning Iphone Apple Type C 1.2M 120cm,19800,75000,73.6,33,Semarang,Toko B,5.0,Lighting
122,Kabel Data Micro Lightning CB161L 1M Fast Charging 2.4A,39000,46000,15.2,0,Jakarta Utara,Toko L,,Lighting
123,Portable Light Stand Tripod 200cm for Studio Lightning W803 FOT-034,52000,107000,51.4,0,Jakarta Barat,Toko G,,Lighting
124,HANMI Portrait Foto Studio Lighting Kit Youtube Vlog Unboxing CEC5400,1383700,1504000,8.0,0,Jakarta Barat,Toko L,,Lighting
125,Foto Studio Day Light Lighting Kit Youtube Vlog - K9,2854800,3103000,8.0,0,Jakarta Barat,Toko L,,Lighting
126,Portrait Foto Studio Day Lighting Kit with Backdrop - LD-TZ25,1093700,3446600,68.3,0,Jakarta Barat,Toko O,,Lighting
127,Reflektor Cahaya Studio Foto 5 in 1 Foto lighting Studio Reflector FOT-042,53000,103000,48.5,3,Jakarta Barat,Toko G,1.0,Lighting
128,Foto Studio Lighting Kit with Backdrop TaffSTUDIO,871900,1428000,38.9,1,Jakarta Barat,Toko H,5.0,Lighting
129,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,663500,1979750,66.5,0,Jakarta Barat,Toko O,,Lighting
130,Ulanzi J12 2-Person Wireless Microphone with Lightning Connector for iOS Devices,599000,599000,0.0,0,Jakarta Pusat,Toko G,,Lighting
131,TaffSTUDIO Foto Studio Lighting Kit with Backdrop LD-TZ11A,887200,4021000,77.9,0,Jakarta Barat,Toko O,,Lighting
132,Lampu Sorot Laser Panggung untuk Lightning Sound System L18RG,173500,828000,79.0,0,Jakarta Barat,Toko E,,Lighting
133,Kabel Charger Lightning Multiple Strands Good Quality 1m S-IP5G,9900,48000,79.4,0,Jakarta Barat,Toko E,,Lighting
134,Micro USB Female to Lightning 8 Pin Adapter for iPhone,5400,24000,77.5,0,Jakarta Barat,Toko E,,Lighting
135,Kabel Data Pendek 20cm iPhone Lightning Mcdodo CA-5153 Powerbank Cable Original,37500,37500,0.0,9,Jakarta Pusat,Toko G,5.0,Lighting
136,Mcdodo Kabel Data Set Travel Type C to C +Lightning Connector Adapter,89000,89000,0.0,1,Jakarta Pusat,Toko G,5.0,Lighting
137,Kabel Data Pendek 20cm Usb Type C to iPhone Lightning 18W Fast Charge Mcdodo Ca-7291,47500,47500,0.0,14,Jakarta Pusat,Toko G,5.0,Lighting
138,Mcdodo Kabel Coiled Type C to Lightning 36W PD Fast Charge Ca-1960,79000,79000,0.0,1,Jakarta Pusat,Toko G,5.0,Lighting
139,Kabel Data 3 in 1 Type C Micro Usb iPhone Lightning 3 Cabang Baseus Original,68000,68000,0.0,28,Jakarta Pusat,Toko G,4.9,Lighting
140,Fitting Lampu Led E27 Cabang 5 Dudukan Bohlam Studio Foto Lighting Fotografi,27000,27000,0.0,0,Sleman,Toko G,,Lighting
141,Ulanzi UW-MIC 20P 2.4GHz Wireless Microphone with Lightning Connector for iOS Devices,1626000,1626000,0.0,0,Jakarta Pusat,Toko G,,Lighting
142,Portrait Foto Studio Day Lighting Kit with Backdrop TaffSTUDIO LD-TZ25,1093700,5043000,78.3,0,Jakarta Barat,Toko O,,Lighting
143,Portable Light Stand Tripod 180cm 180 cm for Studio Lighting Lampu Kamera Photo Photography,89000,89000,0.0,0,Sleman,Toko G,,Lighting
144,Lightdow Lighting Kamera 160 LED,264900,928400,71.5,0,Jakarta Barat,Toko G,,Lighting
